Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
sample_1	0.003006494662882821	0.004788559389146557	0.0069391666357070825	0.011892919563514218	0.0482804073435979	0.04338522820130418	0.014744953348188424	0.05479358725998765	0.006432870892613572	0.04483678227892622	0.136017847837233	0.04359914514678217	0.09223582320708706	0.07805956801015672	0.01750397774376533	0.03035757957379938	0.006919410581013133	0.001837067195158301	0.031280822245023744	0.011935080954891698	0.0887938452439721	0.09815145129830892	0.028669220922979716	0.029889835911966027	0.05871114506115775	0.006937209490836373
sample_2	0.027494033805190575	0.03636804929957393	0.02649811491185819	0.022253870050119355	0.015510237615926835	0.02182679257404532	0.023591670900674152	0.02641815296173598	0.0601576026671426	0.09777803283033744	0.01958448061847441	0.06030965898495782	0.07559491062637018	0.004398923989893053	0.04757269560653165	0.06321026229420405	0.032095755976688935	0.13896244043887343	0.003036816105246452	0.0063223244834690676	0.04391381774637974	0.0172555960658385	0.013342240918343013	0.0376943729316716	0.016860387642087298	0.06194875795436618
sample_3	0.0032443169167239868	0.05389515839781128	0.1128459935358175	0.003059786640551374	0.014473411559829681	0.05191933718877129	0.00580377621387654	0.021195756871875037	0.026740149888196767	0.00810475184528096	0.05763119957344876	0.08769518183741296	0.009929329413046374	0.07995837806216047	0.054902466733498405	0.04757550204539973	0.042904086162943916	0.0911017685117794	0.024449117066476945	0.043174616913419034	0.006960837133243589	0.017700165960173406	0.008456433696793492	0.023924662091989127	0.09454940106006872	0.007804414679411575
sample_4	0.017820554766919704	0.008425966729458449	0.033328332808537815	0.004037651830620962	0.003181964964476706	0.02742423870101399	0.08422825970700759	0.13114050060213236	0.035819684589691425	0.044628377614305804	0.019035074425583613	0.05968967925940443	0.03552618682406716	0.1059312646837376	0.0036407497537170887	0.023877984417601004	0.04641450116888273	0.04617163392201927	0.024196431494776682	0.016081763396952213	0.021175503329720628	0.0028405131851124833	0.0018603848935705625	0.04008212695463698	0.04091803887636806	0.12252263109968449
sample_5	0.048646548329769106	6.241315220355447e-05	0.0007111887139643483	0.00489208763732116	0.07907385725471167	0.06439483849667273	0.05933398592702343	0.04321599706981777	0.014791002084501013	0.05403537313337185	0.09015278975182234	0.02789674728558093	0.060773798822813	0.08882546285214388	0.011436186305908327	0.02667641284352273	0.01639278893496635	0.004649438352362827	0.0375171891053867	0.0833066863469697	0.050997133958694235	0.017640917722691128	0.007508716700543345	0.021906916119745247	0.04246081978676576	0.04270070331072692
sample_6	0.06572008560817749	0.0901069027644068	0.035348628456920876	0.07197797952764723	0.005305469874382603	0.02792305688228248	0.09146315683369696	0.023636977734489216	0.03632307898663444	0.04745829839655319	0.011191933804270906	0.03160257651312777	0.06497433608486092	0.018647004895148634	0.012249450688471598	0.07390129082719754	0.0049512131707567	0.0069475877635144095	0.004912991533647844	0.03075648217834136	0.07934283221568858	0.024110062502807558	0.007816407066887736	0.0010503845039201319	0.09885605775042397	0.03342575343574284
sample_7	0.0675240312076142	0.013587917445506269	0.031150949160230694	0.013334240927456697	0.02527210222826467	0.028228223039516293	0.030971869881527923	0.01463833881122531	0.09118650299052909	0.02522110955958618	0.021976894989066954	0.00042697614653671253	0.02037562018445747	0.03845093568245611	0.02683060373596288	0.004657504579814848	0.057648170149434345	0.04703205699129904	0.06619463271595469	0.02271622191487171	0.06005819454179321	0.09037296293260606	0.017784316547834186	0.007623065263129328	0.16175196775527326	0.014984590618051791
sample_8	0.001960553705771662	0.009911835057371187	0.05007752420427161	0.0852524552877773	0.012603762915985401	0.09979531355758132	0.03259842473038056	0.009827885587815638	0.022687218581439066	0.018031412977399092	0.024467986665439635	0.005249746489688589	0.013822347495839951	0.051193799541148964	0.017526116111044085	0.17267737301667305	0.013598989697675017	0.07894796595540526	0.005827035645347507	0.03486370406114366	0.03112146135102981	0.02842050272609191	0.005952608571264991	0.10132623904382448	0.05979525923516382	0.012462477787426563
sample_9	0.031377913954372824	0.07147224335463098	0.025544828511254475	0.0007347942644544297	0.09154322972450243	0.0735777916384334	0.016601380680296162	0.0022802409900204434	0.06022473582076542	0.00557974843929699	0.10123393416858477	0.02428527436364897	0.01884014725077485	0.07670770972616811	0.0001869290461695171	0.1310087200088272	0.07064871139293152	0.010077150007880287	0.009245129820541358	0.06241271681608086	0.0120248902426335	0.012574763877186737	0.04270899496347226	0.011865176021503514	0.01715548849717733	0.02008735641839172
sample_10	0.0012884922041120376	0.009912248253255766	0.01708638500788653	0.01814313507463831	0.060081760912448705	0.0009324445324758477	0.01170733017370243	0.14274032004656748	0.01945141830713469	0.005852844846874828	0.014970025801085377	0.07835439739831056	0.0053320601113374996	0.020680486421522027	0.0454681154376382	0.05462921500008639	0.04572634798799612	0.0033580395031851634	0.10182925900534749	0.0039137610519458955	0.08283321016546448	0.05332442509151627	0.02036954742779931	0.14669944393437165	0.014549632326565882	0.02076565397673108
